word,part_of_speech,meaning_zh,example_en,difficulty
ability,n.,能力,Reading improves your language ability.,1
abroad,adv.,在国外,She wants to study abroad.,1
accept,v.,接受,Please accept my sincere thanks.,1
achieve,v.,实现;取得,Hard work helps students achieve goals.,1
advantage,n.,优势,Practice gives you an advantage.,1
advice,n.,建议,The teacher gave useful advice.,1
afford,v.,负担得起,Many families cannot afford the fee.,2
agree,v.,同意,I agree with your idea.,1
allow,v.,允许,The school does not allow late arrivals.,1
although,conj.,虽然,Although it rained, we continued.,1
amount,n.,数量,A large amount of water is needed.,2
ancient,adj.,古代的,We visited an ancient city.,1
appear,v.,出现,A bright smile appeared on her face.,1
area,n.,地区;面积,This area is famous for tea.,1
argue,v.,争论,They argue about the plan.,2
arrive,v.,到达,We arrived at school early.,1
attention,n.,注意,Pay attention to the question.,1
available,adj.,可获得的,Free books are available here.,2
avoid,v.,避免,Try to avoid careless mistakes.,1
balance,n./v.,平衡,Students need a balance between study and rest.,2
behavior,n.,行为,Good behavior matters in class.,2
believe,v.,相信,I believe you can improve.,1
benefit,n./v.,益处;受益,Exercise benefits both body and mind.,2
borrow,v.,借入,May I borrow your dictionary?,1
career,n.,职业,She plans a career in medicine.,2
cause,n./v.,原因;导致,The storm caused heavy traffic.,1
challenge,n./v.,挑战,The exam is a real challenge.,2
chance,n.,机会,Everyone deserves a second chance.,1
choose,v.,选择,Choose the best answer.,1
communicate,v.,交流,Friends should communicate honestly.,2
compare,v.,比较,Compare the two pictures.,1
complete,v./adj.,完成;完整的,Please complete the form.,1
condition,n.,条件;状况,The road is in poor condition.,2
confidence,n.,信心,Success can build confidence.,2
consider,v.,考虑,We should consider his feelings.,2
continue,v.,继续,Continue reading after class.,1
convenient,adj.,方便的,Online learning is convenient.,2
create,v.,创造,Students can create their own stories.,1
culture,n.,文化,Language is part of culture.,1
decision,n.,决定,It was a difficult decision.,2
develop,v.,发展;培养,Reading develops thinking skills.,1
difference,n.,差异,There is a clear difference.,1
difficult,adj.,困难的,The question is difficult.,1
discover,v.,发现,Scientists discover new facts.,2
discuss,v.,讨论,We discussed the problem in groups.,1
education,n.,教育,Education changes people's lives.,1
effort,n.,努力,Your effort will pay off.,1
encourage,v.,鼓励,Parents encourage children to try.,2
environment,n.,环境,We should protect the environment.,1
especially,adv.,尤其,She likes music, especially piano.,1
experience,n./v.,经历;经验,Travel gives people experience.,1
explain,v.,解释,Can you explain the rule?,1
failure,n.,失败,Failure can teach important lessons.,2
foreign,adj.,外国的,Learning a foreign language is useful.,1
future,n.,未来,Plan for your future carefully.,1
government,n.,政府,The government built a new library.,2
habit,n.,习惯,Good habits make study easier.,1
improve,v.,提高,Practice can improve pronunciation.,1
include,v.,包括,The price includes breakfast.,1
increase,v./n.,增加,The number will increase quickly.,2
influence,n./v.,影响,Friends can influence your choices.,2
knowledge,n.,知识,Knowledge comes from learning.,1
language,n.,语言,English is an international language.,1
manage,v.,管理;设法做到,She managed to finish the work.,2
method,n.,方法,Find a better learning method.,1
necessary,adj.,必要的,Sleep is necessary for health.,1
opinion,n.,观点,What is your opinion?,1
opportunity,n.,机会,This is a great opportunity.,2
ordinary,adj.,普通的,He lived an ordinary life.,2
patient,adj./n.,耐心的;病人,Be patient with younger students.,1
period,n.,时期;一段时间,This period is important.,2
possible,adj.,可能的,Anything is possible with effort.,1
practice,n./v.,练习,Daily practice improves English.,1
prepare,v.,准备,Prepare well before the exam.,1
problem,n.,问题,Let's solve the problem together.,1
progress,n.,进步,You have made great progress.,1
protect,v.,保护,We must protect nature.,1
provide,v.,提供,The school provides lunch.,2
purpose,n.,目的,What is the purpose of the text?,2
realize,v.,意识到;实现,I realized my mistake.,2
reason,n.,理由,Give a reason for your answer.,1
receive,v.,收到,I received a letter yesterday.,1
reduce,v.,减少,We should reduce waste.,2
relationship,n.,关系,Trust is important in a relationship.,2
remember,v.,记得,Remember to bring your book.,1
require,v.,需要;要求,The task requires patience.,2
result,n.,结果,The result surprised everyone.,1
return,v./n.,返回;归还,Please return the book on time.,1
science,n.,科学,Science helps us understand the world.,1
serious,adj.,严重的;认真的,This is a serious problem.,1
society,n.,社会,Everyone has a role in society.,2
solution,n.,解决办法,We need a practical solution.,2
successful,adj.,成功的,She became a successful writer.,1
suggest,v.,建议,I suggest taking notes.,2
support,v./n.,支持,Thank you for your support.,1
technology,n.,技术,Technology changes education.,2
tradition,n.,传统,The festival is an old tradition.,2
understand,v.,理解,I understand the passage.,1
valuable,adj.,有价值的,Time is valuable.,2
volunteer,n./v.,志愿者;自愿做,He works as a volunteer.,2
